ALAL,18.658961802923123,-9.118681551073523,12.247625811754292,2901,0.625710145641452,0.17663127700833448,0.19765857735021347
ALAR,-18.940503457088777,-9.29380268731549,11.463998870721802,1158,0.2762582719356461,0.5372024252852478,0.18653930277910613
CHL,24.811571693902824,-38.20417949748254,7.868608368817105,2619,0.5874484403488629,0.368053422524961,0.04449813712617616
CHR,-24.971971164050927,-38.34434527136948,7.678896866509234,874,0.6277374905110733,0.09620223523526288,0.2760602742536638
COL,-0.17276052066614953,-11.249160896530274,32.09785156509811,351,0.053912487617422344,0.6522077743298671,0.29387973805271056
ENL,14.860790349983471,26.04636867925352,4.198625651745429,1830,0.6302635896196833,0.15599387864458927,0.21374253173572744
ENR,-15.812998833479403,25.704778380120256,3.837618919179072,80,0.4080045734987439,0.5617056766687439,0.030289749832512144
EXL,46.27626765620357,30.28114366688499,-4.582244630502123,1780,0.189411331086128,0.32151550308154025,0.4890731658323318
EXR,-46.799153635143185,30.288930447515014,-5.139904350056297,30,0.49473930867603516,0.11241777242075983,0.39284291890320505
GB,0.31841212121874396,50.47898220148774,17.347268267523457,3483,0.3764615207302937,0.04764130347096224,0.5758971757987441
GN,1.0852014633214504,-77.13153644240325,8.719080550282225,2976,0.47676405876967354,0.3823544422393806,0.14088149899094593
LI,0.13638574483825366,-46.11902343777929,19.432543345850398,3486,0.026686298355719673,0.6498681152865048,0.32344558635777554
LIKONVEX,0.1119794528291209,-41.83463462245623,20.148504052537294,3485,0.6143995513097006,0.023125045268678538,0.3624754034216209
LS,-0.24365035621210948,-30.325455451091308,23.471074252616987,566,0.10437945634322221,0.6637489585375117,0.2318715851192661
LSKONVEX,-0.16606923757067393,-32.194948495826786,23.123439724947637,556,0.0716999058048095,0.4839476393880859,0.44435245480710456
ME,1.1858765206146442,-82.39787544291704,0.7195239435456741,2507,0.11601333782628043,0.14835602851914056,0.735630633654579
N,-0.01046810843098527,32.75633297201736,16.410644082550636,170,0.00367006124631869,0.533581280999537,0.46274865775414425
OL,30.754104560906782,12.777140712777634,3.3620384895216686,2888,0.06680316749527515,0.05858173859447969,0.8746150939102452
OR,-31.60498314128734,12.632337987355502,3.154670475578098,1531,0.042377878049415396,0.1288392804773404,0.8287828414732442
PHL,5.439247403862125,-28.571160839518306,22.88979925569295,2281,0.3011408527252649,0.06671083294616686,0.6321483143285682
PHR,-6.02879139092154,-28.6964924605598,22.755877284139984,532,0.5372051495297339,0.4082462317886426,0.05454861868162363
POG,0.8816678762804414,-67.13928277389223,13.34073906016052,3492,0.00835582599109938,0.8665419960453149,0.12510217796358572
PRN,-0.18120649832513938,-4.103158095689509,37.28992014012684,392,0.0465389448511524,0.05064266761261784,0.9028183875362298
SM,0.5274583985994667,-54.312234862569014,13.63899472561388,3491,0.20999870458051817,0.08753479106471174,0.7024665043547701
SN,-0.16149995398434736,-16.326223801845384,23.18511872648614,409,0.09440378325903459,0.5952753589600576,0.31032085778090784
SSP,-0.18271718766026118,-23.605516825924276,21.908014807874036,1635,0.08454979484240088,0.18783294172539555,0.7276172634322036
ZYGL,62.04106312088352,14.26186308950897,-17.692057221848234,3399,0.02155691970071172,0.10123937533761988,0.8772037049616684
ZYGR,-63.987017574480475,13.180904909901113,-20.987295914898702,1669,0.24482841277871448,0.19575742451783942,0.5594141627034461
